fecha,IPC
1/31/2017,1.3
2/28/2017,2.5
3/31/2017,2.4
4/30/2017,2.6
5/31/2017,1.3
6/30/2017,1.4
7/31/2017,1.7
8/31/2017,1.5
9/30/2017,2
10/31/2017,1.3
11/30/2017,1.2
12/31/2017,3.4
1/31/2018,1.6
2/28/2018,2.6
3/31/2018,2.5
4/30/2018,2.6
5/31/2018,1.9
6/30/2018,3.9
7/31/2018,2.8
8/31/2018,4.1
9/30/2018,6.6
10/31/2018,5.1
11/30/2018,2.9
12/31/2018,2.8
1/31/2019,2.8
2/28/2019,3.8
3/31/2019,4.8
4/30/2019,3.2
5/31/2019,3
6/30/2019,2.6
7/31/2019,2.1
8/31/2019,3.9
9/30/2019,5.8
10/31/2019,3.2
11/30/2019,4.1
12/31/2019,3.8
1/31/2020,1.9
2/29/2020,1.8
3/31/2020,3.6
4/30/2020,1.4
5/31/2020,1.5
6/30/2020,2
7/31/2020,1.6
8/31/2020,2.8
9/30/2020,2.8
10/31/2020,3.6
11/30/2020,3
12/31/2020,3.7
1/31/2021,3.3
2/28/2021,3.6
3/31/2021,5.2
4/30/2021,4.1
5/31/2021,3.4
6/30/2021,3.2
7/31/2021,3
8/31/2021,2.5
9/30/2021,3.5
10/31/2021,3.5
11/30/2021,2.5
12/31/2021,3.8
1/31/2022,3.9
2/28/2022,4.7
3/31/2022,6.7
4/30/2022,6
5/31/2022,5.1
6/30/2022, 5.30 
7/31/2022,7.4
8/31/2022,7
9/30/2022,6.2
10/31/2022,6.3
11/30/2022,4.9
12/31/2022,5.1
1/31/2023,6
2/28/2023,6.6
3/31/2023,7.7
4/30/2023,8.4
5/31/2023,7.4
6/30/2023,7
7/31/2023,7.1
8/31/2023,7
9/30/2023,7
10/31/2023,7
