Date,Paperback,Hardcover
4/1/2000,199,139
4/2/2000,172,128
4/3/2000,111,172
4/4/2000,209,139
4/5/2000,161,191
4/6/2000,119,168
4/7/2000,195,170
4/8/2000,195,145
4/9/2000,131,184
4/10/2000,183,135
4/11/2000,143,218
4/12/2000,141,198
4/13/2000,168,230
4/14/2000,201,222
4/15/2000,155,206
4/16/2000,243,240
4/17/2000,225,189
4/18/2000,167,222
4/19/2000,237,158
4/20/2000,202,178
4/21/2000,186,217
4/22/2000,176,261
4/23/2000,232,238
4/24/2000,195,240
4/25/2000,190,214
4/26/2000,182,200
4/27/2000,222,201
4/28/2000,217,283
4/29/2000,188,220
4/30/2000,247,259
5/1/2000,209,232
5/2/2000,206,222
