Dia,Messi
3/3/2024,82
3/4/2024,51
3/5/2024,50
3/6/2024,48
3/7/2024,55
3/8/2024,78
3/9/2024,70
3/10/2024,78
3/11/2024,61
3/12/2024,57
3/13/2024,58
3/14/2024,65
3/15/2024,56
3/16/2024,74
3/17/2024,70
3/18/2024,51
3/19/2024,46
3/20/2024,52
3/21/2024,49
3/22/2024,58
3/23/2024,74
3/24/2024,61
3/25/2024,49
3/26/2024,53
3/27/2024,71
3/28/2024,60
3/29/2024,68
3/30/2024,75
3/31/2024,67
4/1/2024,60
4/2/2024,61
4/3/2024,51
4/4/2024,61
4/5/2024,51
4/6/2024,65
4/7/2024,74
4/8/2024,47
4/9/2024,51
4/10/2024,56
4/11/2024,74
4/12/2024,51
4/13/2024,85
4/14/2024,79
4/15/2024,49
4/16/2024,48
4/17/2024,43
4/18/2024,52
4/19/2024,47
4/20/2024,54
4/21/2024,67
4/22/2024,53
4/23/2024,52
4/24/2024,48
4/25/2024,47
4/26/2024,86
4/27/2024,63
4/28/2024,85
4/29/2024,56
4/30/2024,53
5/1/2024,68
5/2/2024,55
5/3/2024,46
5/4/2024,64
5/5/2024,100
5/6/2024,57
5/7/2024,49
5/8/2024,47
5/9/2024,52
5/10/2024,50
5/11/2024,61
5/12/2024,71
5/13/2024,43
5/14/2024,47
5/15/2024,57
5/16/2024,52
5/17/2024,62
5/18/2024,65
5/19/2024,75
5/20/2024,50
5/21/2024,53
5/22/2024,50
5/23/2024,59
5/24/2024,63
5/25/2024,66
5/26/2024,69
5/27/2024,48
5/28/2024,59
5/29/2024,61
5/30/2024,61
5/31/2024,54
6/1/2024,80
6/2/2024,81
6/3/2024,51
