Date,Production
1982-01,706.8
1982-02,673.2
1982-03,768
1982-04,787.2
1982-05,872.4
1982-06,836.4
1982-07,768
1982-08,718.8
1982-09,681.6
1982-10,692.4
1982-11,663.6
1982-12,698.4
1983-01,720
1983-02,679.2
1983-03,783.6
1983-04,807.6
1983-05,890.4
1983-06,859.2
1983-07,792
1983-08,740.4
1983-09,699.6
1983-10,704.4
1983-11,678
1983-12,717.6
1984-01,753.6
1984-02,741.6
1984-03,825.6
1984-04,846
1984-05,924
1984-06,883.2
1984-07,813.6
1984-08,766.8
1984-09,724.8
1984-10,733.2
1984-11,712.8
1984-12,760.8
1985-01,789.6
1985-02,746.4
1985-03,850.8
1985-04,866.4
1985-05,938.4
1985-06,907.2
1985-07,842.4
1985-08,783.6
1985-09,738
1985-10,745.2
1985-11,722.4
1985-12,762
1986-01,812.4
1986-02,762
1986-03,883.2
1986-04,906
1986-05,973.2
1986-06,957.6
1986-07,882
1986-08,836.4
1986-09,793.2
1986-10,800.4
1986-11,774
1986-12,825.6
1987-01,855.6
1987-02,800.4
1987-03,914.4
1987-04,940.8
1987-05,1004.4
1987-06,980.4
1987-07,920.4
1987-08,866.4
1987-09,817.2
1987-10,824.4
1987-11,792
1987-12,837.6
1988-01,860.4
1988-02,835.2
1988-03,930
1988-04,955.2
1988-05,1029.6
1988-06,991.2
1988-07,939.6
1988-08,888
1988-09,841.2
1988-10,847.2
1988-11,812.4
1988-12,853.2
1989-01,880.8
1989-02,828
1989-03,942
1989-04,966
1989-05,1045.2
1989-06,1014
1989-07,961.2
1989-08,916.8
1989-09,870
1989-10,867.6
1989-11,828
1989-12,880.8
1990-01,900
1990-02,848.4
1990-03,968.4
1990-04,988.8
1990-05,1063.2
1990-06,1030.8
1990-07,982.8
1990-08,939.6
1990-09,888
1990-10,896.4
1990-11,853.2
1990-12,901.2
1991-01,964.8
1991-02,907.2
1991-03,1032
1991-04,1053.6
1991-05,1130.4
1991-06,1095.6
1991-07,1042.8
1991-08,1000.8
1991-09,948
1991-10,960
1991-11,915.6
1991-12,960
1992-01,991.2
1992-02,958.8
1992-03,1068
1992-04,1080
1992-05,1153.2
1992-06,1122
1992-07,1072.8
1992-08,1026
1992-09,970.8
1992-10,972
1992-11,919.2
1992-12,966
1993-01,985.2
1993-02,927.6
1993-03,1059.6
1993-04,1077.6
1993-05,1148.4
1993-06,1108.8
1993-07,1057.2
1993-08,1004.4
1993-09,940.8
1993-10,949.2
1993-11,912
1993-12,962.4
1994-01,993.6
1994-02,933.6
1994-03,1066.8
1994-04,1082.4
1994-05,1162.8
1994-06,1136.4
1994-07,1089.6
1994-08,1040.4
1994-09,978
1994-10,974.4
1994-11,927.6
1994-12,975.6
1995-01,1000.8
1995-02,938.4
1995-03,1070.4
1995-04,1083.6
1995-05,1159.2
1995-06,1124.4
1995-07,1075.2
1995-08,1029.6
1995-09,980.4
1995-10,992.4
1995-11,956.4
1995-12,1011.6
